species_searched,species,longitude,latitude,source,date,key
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.349722222222,0,specieslink,1994,1845
Chrysocyon brachyurus,Chrysocyon brachyurus,-48.099722222222,-21.72,specieslink,1992,1490
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1994,1781
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,2014,1939
Chrysocyon brachyurus,Chrysocyon brachyurus,-51.1483,-29.824699,specieslink,1983,2111
Chrysocyon brachyurus,Chrysocyon brachyurus,-51.1483,-29.824699,specieslink,1983,2110
Chrysocyon brachyurus,Chrysocyon brachyurus,-51.1483,-29.824699,specieslink,1983,2112
Chrysocyon brachyurus,Chrysocyon brachyurus,-58,-23,specieslink,1932,28629
Chrysocyon brachyurus,Chrysocyon brachyurus,-55.83608,-25.25815,specieslink,1931,30267
Chrysocyon brachyurus,Chrysocyon brachyurus,-58,-23,specieslink,1932,28628
Chrysocyon brachyurus,Chrysocyon brachyurus,-58,-23,specieslink,1932,28630
Chrysocyon brachyurus,Chrysocyon brachyurus,-54.0332,-12.49964,specieslink,NA,34261
Chrysocyon brachyurus,Chrysocyon brachyurus,-65.75781,-38.3952,specieslink,NA,51457
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,NA,4919
Chrysocyon brachyurus,Chrysocyon brachyurus,-68.225,4.97166666666667,specieslink,NA,4918
Chrysocyon brachyurus,Chrysocyon brachyurus,-46.630001,-23.540001,specieslink,1985,0007731
Chrysocyon brachyurus,Chrysocyon brachyurus,0,0,specieslink,1999,0040912
Chrysocyon brachyurus,Chrysocyon brachyurus,-40.461944,-20.392778,specieslink,2016,3629
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-49.949447,-21.064263,gbif,2024,4512195659
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.867779,-14.974657,gbif,2024,4512338635
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-56.245021,-19.991062,gbif,2024,4516699180
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.947723,-16.223767,gbif,2024,4519217924
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-58.360102,-24.13405,gbif,2024,4525311825
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-56.554427,-26.376247,gbif,2024,4522708030
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-48.094272,-10.132079,gbif,2024,4535672571
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.521706,-22.484831,gbif,2024,4872277012
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.974693,-18.299297,gbif,2024,4597019632
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.94149,-18.273404,gbif,2024,4600081206
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.848661,-18.354124,gbif,2024,4606803201
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-41.858324,-18.869867,gbif,2024,4851913063
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-41.962611,-18.958491,gbif,2024,4852784428
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.986876,-18.28122,gbif,2024,4847158857
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.53327,-20.023232,gbif,2024,4852520582
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.826734,-18.132787,gbif,2024,4854985894
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-57.435869,-28.713153,gbif,2024,4855170926
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.922828,-18.020619,gbif,2024,4855454344
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.965628,-15.810303,gbif,2024,4867978473
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-61.421691,-29.022113,gbif,2024,4854856169
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-58.013829,-24.562214,gbif,2024,4863342318
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-61.568164,-29.148235,gbif,2024,4868122385
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.842166,-18.065883,gbif,2024,4868175305
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.567933,-20.399844,gbif,2024,4903883522
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-50.008074,-29.043719,gbif,2024,4921904731
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.871793,-18.140805,gbif,2024,4902090380
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.602089,-14.784919,gbif,2024,4903740128
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.682902,-28.677327,gbif,2024,4909035191
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.790031,-28.789879,gbif,2024,4908109131
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.536108,-19.349848,gbif,2024,4908880571
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.443854,-19.399516,gbif,2024,4919730594
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.862549,-18.062052,gbif,2024,4919566140
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.42865,-20.282854,gbif,2024,4919461262
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.957041,-18.328152,gbif,2024,4921806542
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.634819,-20.025689,gbif,2024,4924059088
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.81295,-18.126725,gbif,2024,4923685831
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.823781,-18.105053,gbif,2024,4923603834
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.565959,-20.194339,gbif,2024,4923666536
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.562924,-22.266994,gbif,2024,4925977358
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.485836,-20.258485,gbif,2024,4936569257
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.602868,-19.12208,gbif,2024,4936840538
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-62.18439,-31.59345,gbif,2024,4936538661
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-49.866361,-29.049294,gbif,2024,4936716376
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.945695,-18.080089,gbif,2024,4945538822
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-56.079449,-16.776305,gbif,2024,4950242959
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-57.193149,-17.610775,gbif,2024,4950117655
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.879672,-21.730863,gbif,2024,4952790457
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.49845,-18.454267,gbif,2024,4952977244
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-58.01457,-24.674743,gbif,2024,4935727910
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.241652,-20.848456,gbif,2024,4945868605
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-44.109769,-21.601616,gbif,2024,4946203630
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.979881,-18.275044,gbif,2024,4945818548
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.462554,-20.137232,gbif,2024,4950389891
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.979539,-18.393342,gbif,2024,4950473820
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.855017,-18.236833,gbif,2024,4950520637
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.869517,-18.052308,gbif,2024,4950146004
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.890254,-18.149583,gbif,2024,4950151478
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.972793,-18.068236,gbif,2024,4949875772
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.863327,-18.317585,gbif,2024,4950516216
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.823353,-18.270011,gbif,2024,4953001349
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.50906,-22.328635,gbif,2024,4952529189
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.818303,-18.268214,gbif,2024,4952951496
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.841715,-18.007616,gbif,2024,4952938849
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.865009,-18.087622,gbif,2024,4952597631
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.87422,-18.053038,gbif,2024,4952315066
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.869943,-18.189508,gbif,2024,4953016991
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.831933,-18.123283,gbif,2024,4953019978
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-50.018319,-23.457274,gbif,2024,4952948655
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.79627,-18.398753,gbif,2024,4954544532
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.685037,-21.637148,gbif,2024,4954266762
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.863186,-18.403897,gbif,2024,4973930668
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.67157,-29.76388,gbif,2023,4014830057
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-43.484212,-19.386263,gbif,2023,4022322621
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.888539,-14.82606,gbif,2023,4022219804
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.833967,-14.956319,gbif,2023,4022153431
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-42.557985,-20.947681,gbif,2023,4029316341
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.911364,-14.88797,gbif,2023,4067564546
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-49.347526,-16.876865,gbif,2023,4974250699
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.591565,-20.259468,gbif,2023,4091751632
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.612162,-18.201202,gbif,2023,4516514579
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.550878,-20.329413,gbif,2023,4091729605
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.951753,-15.815801,gbif,2023,4116137919
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.990916,-31.761631,gbif,2023,4121070652
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-60.410279,-29.753873,gbif,2023,4901172446
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-57.383081,-28.569941,gbif,2023,4116647713
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.604915,-18.285163,gbif,2023,4121414735
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.723485,-18.298562,gbif,2023,4126959743
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.911511,-18.033303,gbif,2023,4130180200
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-46.352993,-20.335877,gbif,2023,4153535671
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-52.704512,-18.212624,gbif,2023,4438730804
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.50405,-21.966015,gbif,2023,4130230564
Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-50.094431,-23.560796,gbif,2023,4133879975
