id,species_searched,species,longitude,latitude,source,date,key,temporal_filter,precision_filter,.val,.equ,.zer,.cap,.cen,.sea,.urb,.gbf,.inst,.dpl,.summary
63,Chrysocyon brachyurus,Chrysocyon brachyurus,-51.099998,-20.8167,specieslink,1990,17250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
64,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.966701,-22.3167,specieslink,2003,17256,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
65,Chrysocyon brachyurus,Chrysocyon brachyurus,-47.866699,-21.700001,specieslink,1991,17273,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
66,Chrysocyon brachyurus,Chrysocyon brachyurus,-49.200001,-24.233299,specieslink,2003,17298,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
67,Chrysocyon brachyurus,Chrysocyon brachyurus,-48.462766,-23.344612,specieslink,2008,21053,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
68,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.1820523605,-23.1023282925,specieslink,2017,22564,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
69,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.6474214642,-23.310955143,specieslink,2017,22568,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
70,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4517088221,-23.3155615301,specieslink,2017,22585,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
71,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.4296634032,-23.1812402369,specieslink,2017,22590,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
72,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.732956131,-23.4763060253,specieslink,2017,22594,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
73,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.7777081944,-23.506853163,specieslink,2017,22595,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
74,Chrysocyon brachyurus,Chrysocyon brachyurus,-45.33298,-23.336155,specieslink,2017,22598,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
75,Chrysocyon brachyurus,Chrysocyon brachyurus,-46.609444444444,-20.719166666667,specieslink,1995,1832,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
76,Chrysocyon brachyurus,Chrysocyon brachyurus,-40.461944,-20.392778,specieslink,2016,3629,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
77,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-49.949447,-21.064263,gbif,2024,4512195659,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
78,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-45.867779,-14.974657,gbif,2024,4512338635,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
79,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-56.245021,-19.991062,gbif,2024,4516699180,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
80,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-47.947723,-16.223767,gbif,2024,4519217924,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
81,Chrysocyon brachyurus,"Chrysocyon brachyurus (Illiger, 1815)",-58.360102,-24.13405,gbif,2024,4525311825,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
